"특성별(1)",특성별(2),2022,2022,2022,2022
"특성별(1)",특성별(2),전혀 문제가 되지 않는다,문제가 되지 않는다,문제가 된다,매우 문제가 된다
"전체",소계,2.4,1.4,23.1,73.0
"성별",남학생,3.0,2.1,28.2,66.7
"성별",여학생,1.8,0.7,17.8,79.8
"학령별",초등학교,3.5,1.8,22.4,72.4
"학령별",중학교,2.0,1.5,24.4,72.1
"학령별",고등학교,1.8,1.0,22.6,74.6
"학교특성별",남학교,3.0,2.9,29.8,64.3
"학교특성별",여학교,1.1,0.3,15.8,82.8
"학교특성별",남녀공학,1.8,1.0,23.4,73.8
"거주지역별",대도시,2.4,1.1,22.3,74.2
"거주지역별",중소도시,2.6,1.7,22.9,72.7
"거주지역별",읍면지역,1.7,1.3,26.5,70.6
"권역별",수도권,2.2,1.4,21.2,75.2
"권역별",충청권,3.1,1.7,26.2,69.0
"권역별",호남권,2.8,1.2,26.5,69.5
"권역별",동북권,1.9,1.2,27.3,69.7
"권역별",동남권,2.8,1.5,21.5,74.1
"인터넷 이용 시간별",1시간 미만,7.1,2.6,15.8,74.5
"인터넷 이용 시간별",1~2시간 미만,3.2,1.6,21.9,73.3
"인터넷 이용 시간별",2~3시간 미만,2.0,1.2,24.7,72.1
"인터넷 이용 시간별",3~5시간 미만,1.5,0.8,24.2,73.5
"인터넷 이용 시간별",5시간 이상,2.1,1.9,23.2,72.8
"가정형편별",상위,5.0,2.0,19.0,74.0
"가정형편별",중위,1.9,1.3,23.5,73.3
"가정형편별",하위,8.6,2.2,27.2,62.0
"학업성적별",상위권,3.1,1.5,21.2,74.2
"학업성적별",중위권,2.2,1.2,23.4,73.3
"학업성적별",하위권,3.1,3.6,25.9,67.4
"사이버폭력 예방교육별",경험 있음,2.1,1.2,22.1,74.6
"사이버폭력 예방교육별",경험 없음,5.1,3.0,31.1,60.8
