"특성별(1)",특성별(2),2022,2022,2022,2022
"특성별(1)",특성별(2),전혀 문제가 되지 않는다,문제가 되지 않는다,문제가 된다,매우 문제가 된다
"전체",소계,2.9,0.9,17.6,78.6
"성별",남학생,3.8,1.4,20.9,74.0
"성별",여학생,2.1,0.4,14.0,83.6
"학령별",초등학교,4.6,0.8,14.3,80.4
"학령별",중학교,2.3,1.3,19.3,77.1
"학령별",고등학교,1.9,0.6,19.1,78.3
"학교특성별",남학교,3.2,1.8,24.9,70.1
"학교특성별",여학교,1.2,0.1,13.6,85.1
"학교특성별",남녀공학,2.0,0.9,18.9,78.2
"거주지역별",대도시,3.0,0.6,16.5,80.0
"거주지역별",중소도시,3.1,1.2,18.2,77.5
"거주지역별",읍면지역,1.9,0.8,18.6,78.7
"권역별",수도권,2.5,0.9,16.4,80.2
"권역별",충청권,3.7,1.2,19.1,76.0
"권역별",호남권,3.5,0.9,19.8,75.8
"권역별",동북권,2.6,0.7,19.6,77.1
"권역별",동남권,3.5,0.8,16.9,78.7
"인터넷 이용 시간별",1시간 미만,8.2,1.5,11.3,79.0
"인터넷 이용 시간별",1~2시간 미만,3.8,0.8,16.5,78.9
"인터넷 이용 시간별",2~3시간 미만,2.7,0.5,18.1,78.7
"인터넷 이용 시간별",3~5시간 미만,1.7,0.8,18.1,79.3
"인터넷 이용 시간별",5시간 이상,2.4,1.3,18.8,77.4
"가정형편별",상위,5.3,1.5,14.2,79.1
"가정형편별",중위,2.4,0.8,17.8,79.0
"가정형편별",하위,10.5,1.8,22.7,65.0
"학업성적별",상위권,3.6,1.2,15.4,79.8
"학업성적별",중위권,2.7,0.6,17.8,78.9
"학업성적별",하위권,3.8,2.6,20.6,73.0
"사이버폭력 예방교육별",경험 있음,2.6,0.8,16.6,80.1
"사이버폭력 예방교육별",경험 없음,5.5,1.8,25.4,67.3
