"특성별(1)",특성별(2),2022,2022,2022,2022,2022,2022
"특성별(1)",특성별(2),별일 아니라고 생각해서,도움이 될 것 같지 않아서,상담/신고가 부담스러워서,주변에 알려지는 것이 창피해서/싫어서,관련 기관의 존재를 몰라서,기타
"전체",소계,66.6,7.9,10.8,6.0,5.5,3.1
"성별",남학생,68.9,7.2,8.7,5.4,6.7,3.1
"성별",여학생,63.5,8.8,13.8,6.8,4.0,3.2
"학령별",초등학교,60.1,4.8,15.6,6.8,7.7,5.1
"학령별",중학교,70.1,9.4,9.2,5.6,3.9,1.8
"학령별",고등학교,70.3,9.7,6.8,5.6,5.1,2.5
"학교특성별",남학교,75.5,8.2,5.1,5.2,4.6,1.4
"학교특성별",여학교,66.0,12.2,12.7,4.2,3.9,1.0
"학교특성별",남녀공학,69.4,9.5,8.4,5.9,4.4,2.4
"거주지역별",대도시,67.5,6.8,10.8,6.1,5.4,3.4
"거주지역별",중소도시,65.6,8.1,11.7,5.8,6.0,2.8
"거주지역별",읍면지역,68.2,10.6,6.9,6.6,4.0,3.6
"권역별",수도권,67.0,7.6,11.3,4.6,5.9,3.5
"권역별",충청권,66.9,8.1,9.7,7.3,5.4,2.7
"권역별",호남권,65.8,7.3,10.6,6.9,6.4,3.0
"권역별",동북권,64.0,7.4,11.3,9.0,5.4,3.0
"권역별",동남권,67.4,9.3,9.9,6.8,4.2,2.4
"인터넷 이용 시간별",1시간 미만,64.8,9.0,11.2,6.4,5.8,2.7
"인터넷 이용 시간별",1~2시간 미만,59.8,6.9,13.5,7.0,7.2,5.7
"인터넷 이용 시간별",2~3시간 미만,66.6,7.3,10.9,5.8,6.9,2.4
"인터넷 이용 시간별",3~5시간 미만,68.7,7.9,10.9,6.4,4.0,2.1
"인터넷 이용 시간별",5시간 이상,68.3,8.7,9.2,5.2,5.1,3.5
"가정형편별",상위,57.4,8.4,14.9,7.0,7.2,5.2
"가정형편별",중위,68.0,7.8,10.4,5.7,5.2,2.9
"가정형편별",하위,57.0,9.1,9.2,11.1,11.8,1.7
"학업성적별",상위권,65.7,6.1,13.1,6.1,5.4,3.7
"학업성적별",중위권,66.8,8.3,10.6,5.9,5.7,2.7
"학업성적별",하위권,67.0,8.8,7.5,6.3,4.5,5.8
"사이버폭력 예방교육별",경험 있음,67.4,7.4,10.9,5.8,5.4,3.1
"사이버폭력 예방교육별",경험 없음,59.5,11.9,10.4,7.9,7.0,3.3
