"특성별(1)",특성별(2),2022,2022,2022,2022,2022,2022
"특성별(1)",특성별(2),상담/신고가 부담스러워서,별일 아니라고 생각해서,도움이 될 것 같지 않아서,관련 기관의 존재를 몰라서,주변에 알려지는것이 창피해서/ 싫어서,기타
"전체",소계,6.7,41.1,26.4,21.2,4.3,0.3
"성별",남성,8.1,46.1,24.1,17.0,4.2,0.6
"성별",여성,4.8,34.7,29.5,26.6,4.4,0.0
"연령별",19~29세,7.1,40.5,30.1,17.6,4.6,0.0
"연령별",30~39세,6.8,45.7,25.3,18.6,3.6,0.0
"연령별",40~49세,6.0,43.1,26.3,21.1,1.6,1.9
"연령별",50~59세,3.3,35.3,25.2,31.6,4.7,0.0
"연령별",60~69세,9.6,33.4,12.2,34.5,10.3,0.0
"학력별",초졸이하,0.0,32.0,0.0,31.6,36.3,0.0
"학력별",중졸,20.9,30.3,31.5,9.2,8.1,0.0
"학력별",고졸,8.6,40.9,23.0,22.3,5.2,0.0
"학력별",대졸이상,5.2,41.6,28.5,20.8,3.5,0.5
"직업별",전문관리,7.8,27.4,40.2,22.2,2.3,0.0
"직업별",사무,4.3,39.2,24.5,25.9,6.1,0.0
"직업별",서비스판매,6.3,43.2,25.6,20.5,3.9,0.5
"직업별",농어업,0.0,43.3,31.2,25.5,0.0,0.0
"직업별",기능노무,9.4,59.3,19.4,7.4,2.2,2.4
"직업별",학생,10.0,43.3,29.1,13.0,4.5,0.0
"직업별",주부,7.1,32.2,25.6,31.9,3.3,0.0
"직업별",무직/기타,10.3,46.6,29.2,10.4,3.5,0.0
"혼인상태별",미혼,7.9,43.4,28.3,16.2,4.3,0.0
"혼인상태별",기혼,5.0,38.9,23.8,27.9,3.6,0.7
"혼인상태별",사별/이혼/기타,8.1,34.7,30.2,14.8,12.2,0.0
"가구주여부별",가구주,5.9,44.5,25.2,18.9,5.0,0.6
"가구주여부별",가구원,7.5,37.5,27.8,23.7,3.6,0.0
"월평균 가구소득별",100만원 미만,4.6,47.3,29.9,13.7,4.6,0.0
"월평균 가구소득별",100~200만원 미만,19.9,52.4,23.5,4.2,0.0,0.0
"월평균 가구소득별",200~300만원 미만,4.8,46.8,29.5,14.8,4.0,0.0
"월평균 가구소득별",300~400만원 미만,8.2,38.7,29.2,18.2,5.0,0.7
"월평균 가구소득별",400~500만원 미만,6.1,32.1,25.1,33.7,3.1,0.0
"월평균 가구소득별",500~600만원 미만,8.0,37.3,27.4,23.6,3.8,0.0
"월평균 가구소득별",600~700만원 미만,0.0,59.6,17.7,14.1,8.6,0.0
"월평균 가구소득별",700만원 이상,5.2,48.5,20.2,18.4,5.3,2.5
"동거 가구원수별",1인,7.5,40.8,33.2,14.1,4.5,0.0
"동거 가구원수별",2인,7.1,32.5,28.5,25.7,6.2,0.0
"동거 가구원수별",3인,3.9,46.4,22.0,24.3,2.3,1.0
"동거 가구원수별",4인 이상,9.0,41.5,24.1,20.2,5.1,0.0
"거주지역별",대도시,6.3,35.7,26.1,26.1,5.5,0.3
"거주지역별",중소도시,7.3,47.3,24.9,16.4,3.7,0.4
"거주지역별",읍면지역,6.3,48.3,33.8,11.5,0.0,0.0
"권역별",수도권,8.0,37.1,22.6,27.4,4.8,0.0
"권역별",충청권,2.1,50.7,31.4,14.1,1.7,0.0
"권역별",호남권,6.7,56.3,25.7,9.1,2.2,0.0
"권역별",동북권,4.6,43.5,36.2,13.9,0.0,1.8
"권역별",동남권,3.9,43.8,36.0,7.4,7.7,1.2
"인터넷 이용시간별",1시간 미만,5.9,35.7,16.9,37.8,3.6,0.0
"인터넷 이용시간별",1~2시간 미만,6.6,30.7,21.6,36.3,4.9,0.0
"인터넷 이용시간별",2~3시간 미만,9.6,35.7,33.1,13.2,7.6,0.7
"인터넷 이용시간별",3~5시간 미만,3.7,44.4,35.3,12.3,4.3,0.0
"인터넷 이용시간별",5시간 이상,6.6,53.2,22.8,15.2,1.6,0.6
"사이버폭력예방교육별",경험 있음,9.5,40.7,27.6,20.5,1.7,0.0
"사이버폭력예방교육별",경험 없음,6.0,41.2,26.1,21.3,4.9,0.4
