"특성별(1)",특성별(2),2021,2021,2021,2021,2021,2021,2021,2021
"특성별(1)",특성별(2),사이버명예훼손,사이버언어폭력,사이버성폭력,사이버스토킹,신상정보유출,사이버따돌림,사이버갈취,사이버강요
"전체",소계,56.0,50.3,49.6,47.4,42.5,23.0,18.2,12.9
"성별",남성,54.8,50.9,49.2,46.6,42.4,24.0,18.1,14.0
"성별",여성,57.3,49.7,50.1,48.3,42.5,22.0,18.4,11.8
"연령별",20~29세,54.9,47.9,53.7,46.1,42.8,24.1,17.6,12.7
"연령별",30~39세,52.4,47.1,48.4,45.1,46.9,24.5,21.4,14.4
"연령별",40~49세,56.2,49.0,48.9,46.0,42.5,24.0,19.9,13.5
"연령별",50~59세,57.3,51.1,47.4,49.5,41.6,23.0,17.7,12.4
"연령별",60~69세,59.6,58.0,50.6,50.8,37.7,18.5,13.7,11.1
"학력별",초졸이하,59.2,62.0,60.8,41.2,37.4,21.4,7.3,10.8
"학력별",중졸,56.6,63.5,46.6,46.8,36.4,23.6,16.0,10.4
"학력별",고졸,57.0,50.4,49.5,48.7,41.8,22.9,17.1,12.7
"학력별",대졸이상,55.1,49.2,49.7,46.6,43.4,23.1,19.5,13.3
"직업별",전문관리,52.1,57.0,44.0,38.6,45.8,22.7,17.9,22.0
"직업별",사무,55.1,48.8,50.1,45.6,42.5,24.5,20.1,13.3
"직업별",서비스판매,57.3,52.4,51.9,48.7,41.3,22.0,15.9,10.4
"직업별",농어업,59.9,57.6,46.8,53.5,44.3,19.9,11.3,6.6
"직업별",기능노무,56.1,47.5,43.9,46.7,43.8,24.5,20.5,16.9
"직업별",학생,51.9,45.7,52.8,43.7,39.6,32.9,18.6,14.8
"직업별",주부,58.7,50.5,48.5,50.7,42.9,18.1,19.5,11.0
"직업별",무직/기타,47.0,47.6,54.6,51.8,45.2,18.7,18.2,16.8
"혼인상태별",미혼,55.5,48.5,52.1,45.5,41.7,24.8,17.3,14.6
"혼인상태별",기혼,55.5,51.1,48.7,47.7,43.3,22.5,18.9,12.3
"혼인상태별",사별/이혼/기타,61.0,49.5,50.0,50.5,38.5,21.8,16.2,12.6
"가구주여부별",가구주,56.7,51.6,48.2,47.4,41.9,22.7,17.7,13.7
"가구주여부별",가구원,55.2,49.0,51.1,47.4,43.0,23.3,18.8,12.1
"월평균 가구소득별",100만원 미만,52.5,52.5,58.5,48.6,38.9,22.4,19.0,7.6
"월평균 가구소득별",100~200만원 미만,63.0,50.8,48.5,45.4,38.4,18.9,15.1,20.1
"월평균 가구소득별",200~300만원 미만,58.7,53.3,49.0,48.8,40.0,22.4,16.6,11.2
"월평균 가구소득별",300~400만원 미만,55.3,50.8,49.3,48.9,43.2,22.0,18.0,12.5
"월평균 가구소득별",400~500만원 미만,57.0,50.8,46.6,45.2,44.3,22.2,20.7,13.2
"월평균 가구소득별",500~600만원 미만,52.9,50.2,51.2,47.9,40.5,25.3,19.2,12.9
"월평균 가구소득별",600~700만원 미만,58.2,47.7,52.0,44.8,40.8,27.0,16.8,12.7
"월평균 가구소득별",700만원 이상,49.4,42.1,57.5,53.0,51.1,20.7,11.5,14.6
"동거 가구원수별",1인,61.0,51.7,49.9,48.1,38.9,20.8,16.6,13.1
"동거 가구원수별",2인,56.5,53.0,49.0,48.3,43.2,20.9,17.2,11.8
"동거 가구원수별",3인,55.7,51.4,50.6,46.6,40.6,23.8,18.6,12.7
"동거 가구원수별",4인 이상,52.3,44.1,48.8,47.0,46.7,26.3,20.2,14.6
"거주지역별",대도시,56.9,50.7,49.6,48.7,40.7,22.1,18.7,12.5
"거주지역별",중소도시,52.9,46.7,51.6,44.2,47.2,26.1,18.1,13.2
"거주지역별",읍면지역,57.7,59.0,43.1,45.7,43.3,21.7,14.1,15.5
"권역별",수도권,56.8,52.2,52.9,47.9,39.8,18.6,20.1,11.8
"권역별",충청권,58.5,48.7,41.7,44.0,49.2,25.1,15.1,17.7
"권역별",호남권,49.1,45.0,41.3,44.6,50.6,32.3,17.9,19.3
"권역별",동북권,59.0,53.3,48.9,46.1,45.2,24.9,14.0,8.7
"권역별",동남권,54.0,46.5,50.6,51.4,38.8,28.5,17.9,12.3
"인터넷 이용시간별",1시간 미만,60.4,55.9,45.3,47.0,42.1,24.1,14.6,10.7
"인터넷 이용시간별",1~2시간 미만,60.0,54.3,48.7,49.4,39.6,21.2,15.9,10.9
"인터넷 이용시간별",2~3시간 미만,55.3,46.5,49.2,47.3,43.7,25.2,19.4,13.5
"인터넷 이용시간별",3~4시간 미만,51.1,46.3,55.4,47.7,42.9,21.7,20.0,14.9
"인터넷 이용시간별",4시간 이상,51.8,51.4,46.8,42.7,46.3,23.6,22.3,15.2
"사이버폭력예방교육별",경험 있음,60.3,52.8,42.1,35.4,47.0,24.0,23.2,15.2
"사이버폭력예방교육별",경험 없음,55.5,50.1,50.4,48.7,42.0,22.9,17.7,12.7
